date,state,cases,deaths
1/21/2020,Washington,1,0
1/22/2020,Washington,1,0
1/23/2020,Washington,1,0
1/24/2020,Illinois,1,0
1/24/2020,Washington,1,0
1/25/2020,California,1,0
1/25/2020,Illinois,1,0
1/25/2020,Washington,1,0
1/26/2020,Arizona,1,0
1/26/2020,California,2,0
1/26/2020,Illinois,1,0
1/26/2020,Washington,1,0
1/27/2020,Arizona,1,0
1/27/2020,California,2,0
1/27/2020,Illinois,1,0
1/27/2020,Washington,1,0
1/28/2020,Arizona,1,0
1/28/2020,California,2,0
1/28/2020,Illinois,1,0
1/28/2020,Washington,1,0
1/29/2020,Arizona,1,0
1/29/2020,California,2,0
1/29/2020,Illinois,1,0
1/29/2020,Washington,1,0
1/30/2020,Arizona,1,0
1/30/2020,California,2,0
1/30/2020,Illinois,2,0
1/30/2020,Washington,1,0
1/31/2020,Arizona,1,0
1/31/2020,California,3,0
1/31/2020,Illinois,2,0
1/31/2020,Washington,1,0
2/1/2020,Arizona,1,0
2/1/2020,California,3,0
2/1/2020,Illinois,2,0
2/1/2020,Massachusetts,1,0
2/1/2020,Washington,1,0
2/2/2020,Arizona,1,0
2/2/2020,California,6,0
2/2/2020,Illinois,2,0
2/2/2020,Massachusetts,1,0
2/2/2020,Washington,1,0
2/3/2020,Arizona,1,0
2/3/2020,California,6,0
2/3/2020,Illinois,2,0
2/3/2020,Massachusetts,1,0
2/3/2020,Washington,1,0
2/4/2020,Arizona,1,0
2/4/2020,California,6,0
2/4/2020,Illinois,2,0
2/4/2020,Massachusetts,1,0
2/4/2020,Washington,1,0
2/5/2020,Arizona,1,0
2/5/2020,California,6,0
2/5/2020,Illinois,2,0
2/5/2020,Massachusetts,1,0
2/5/2020,Washington,1,0
2/5/2020,Wisconsin,1,0
2/6/2020,Arizona,1,0
2/6/2020,California,6,0
2/6/2020,Illinois,2,0
2/6/2020,Massachusetts,1,0
2/6/2020,Washington,1,0
2/6/2020,Wisconsin,1,0
2/7/2020,Arizona,1,0
2/7/2020,California,6,0
2/7/2020,Illinois,2,0
2/7/2020,Massachusetts,1,0
2/7/2020,Washington,1,0
2/7/2020,Wisconsin,1,0
2/8/2020,Arizona,1,0
2/8/2020,California,6,0
2/8/2020,Illinois,2,0
2/8/2020,Massachusetts,1,0
2/8/2020,Washington,1,0
2/8/2020,Wisconsin,1,0
2/9/2020,Arizona,1,0
2/9/2020,California,6,0
2/9/2020,Illinois,2,0
2/9/2020,Massachusetts,1,0
2/9/2020,Washington,1,0
2/9/2020,Wisconsin,1,0
2/10/2020,Arizona,1,0
2/10/2020,California,7,0
2/10/2020,Illinois,2,0
2/10/2020,Massachusetts,1,0
2/10/2020,Washington,1,0
2/10/2020,Wisconsin,1,0
2/11/2020,Arizona,1,0
2/11/2020,California,7,0
2/11/2020,Illinois,2,0
2/11/2020,Massachusetts,1,0
2/11/2020,Washington,1,0
2/11/2020,Wisconsin,1,0
2/12/2020,Arizona,1,0
2/12/2020,California,7,0
2/12/2020,Illinois,2,0
2/12/2020,Massachusetts,1,0
2/12/2020,Texas,1,0
2/12/2020,Washington,1,0
2/12/2020,Wisconsin,1,0
2/13/2020,Arizona,1,0
2/13/2020,California,7,0
2/13/2020,Illinois,2,0
2/13/2020,Massachusetts,1,0
2/13/2020,Texas,2,0
2/13/2020,Washington,1,0
2/13/2020,Wisconsin,1,0
2/14/2020,Arizona,1,0
2/14/2020,California,7,0
2/14/2020,Illinois,2,0
2/14/2020,Massachusetts,1,0
2/14/2020,Texas,2,0
2/14/2020,Washington,1,0
2/14/2020,Wisconsin,1,0
2/15/2020,Arizona,1,0
2/15/2020,California,7,0
2/15/2020,Illinois,2,0
2/15/2020,Massachusetts,1,0
2/15/2020,Texas,2,0
2/15/2020,Washington,1,0
2/15/2020,Wisconsin,1,0
2/16/2020,Arizona,1,0
2/16/2020,California,7,0
2/16/2020,Illinois,2,0
2/16/2020,Massachusetts,1,0
2/16/2020,Texas,2,0
2/16/2020,Washington,1,0
2/16/2020,Wisconsin,1,0
2/17/2020,Arizona,1,0
2/17/2020,California,7,0
2/17/2020,Illinois,2,0
2/17/2020,Massachusetts,1,0
2/17/2020,Nebraska,10,0
2/17/2020,Texas,2,0
2/17/2020,Washington,1,0
2/17/2020,Wisconsin,1,0
2/18/2020,Arizona,1,0
2/18/2020,California,7,0
2/18/2020,Illinois,2,0
2/18/2020,Massachusetts,1,0
2/18/2020,Nebraska,10,0
2/18/2020,Texas,2,0
2/18/2020,Washington,1,0
2/18/2020,Wisconsin,1,0
2/19/2020,Arizona,1,0
2/19/2020,California,7,0
2/19/2020,Illinois,2,0
2/19/2020,Massachusetts,1,0
2/19/2020,Nebraska,10,0
2/19/2020,Texas,2,0
2/19/2020,Washington,1,0
2/19/2020,Wisconsin,1,0
2/20/2020,Arizona,1,0
2/20/2020,California,8,0
2/20/2020,Illinois,2,0
2/20/2020,Massachusetts,1,0
2/20/2020,Nebraska,11,0
2/20/2020,Texas,2,0
2/20/2020,Washington,1,0
2/20/2020,Wisconsin,1,0
2/21/2020,Arizona,1,0
2/21/2020,California,9,0
2/21/2020,Illinois,2,0
2/21/2020,Massachusetts,1,0
2/21/2020,Nebraska,11,0
2/21/2020,Texas,4,0
2/21/2020,Washington,1,0
2/21/2020,Wisconsin,1,0
2/22/2020,Arizona,1,0
2/22/2020,California,9,0
2/22/2020,Illinois,2,0
2/22/2020,Massachusetts,1,0
2/22/2020,Nebraska,11,0
2/22/2020,Texas,4,0
2/22/2020,Washington,1,0
2/22/2020,Wisconsin,1,0
2/23/2020,Arizona,1,0
2/23/2020,California,9,0
2/23/2020,Illinois,2,0
2/23/2020,Massachusetts,1,0
2/23/2020,Nebraska,11,0
2/23/2020,Texas,4,0
2/23/2020,Washington,1,0
2/23/2020,Wisconsin,1,0
2/24/2020,Arizona,1,0
2/24/2020,California,11,0
2/24/2020,Illinois,2,0
2/24/2020,Massachusetts,1,0
2/24/2020,Nebraska,12,0
2/24/2020,Texas,10,0
2/24/2020,Washington,5,0
2/24/2020,Wisconsin,1,0
2/25/2020,Arizona,1,0
2/25/2020,California,11,0
2/25/2020,Illinois,2,0
2/25/2020,Massachusetts,1,0
2/25/2020,Nebraska,13,0
2/25/2020,Texas,10,0
2/25/2020,Utah,1,0
2/25/2020,Washington,5,0
2/25/2020,Wisconsin,1,0
2/26/2020,Arizona,1,0
2/26/2020,California,26,0
2/26/2020,Illinois,2,0
2/26/2020,Massachusetts,1,0
2/26/2020,Nebraska,13,0
2/26/2020,Texas,10,0
2/26/2020,Utah,1,0
2/26/2020,Washington,5,0
2/26/2020,Wisconsin,1,0
2/27/2020,Arizona,1,0
2/27/2020,California,26,0
2/27/2020,Illinois,2,0
2/27/2020,Massachusetts,1,0
2/27/2020,Nebraska,13,0
2/27/2020,Texas,10,0
2/27/2020,Utah,1,0
2/27/2020,Washington,5,0
2/27/2020,Wisconsin,1,0
2/28/2020,Arizona,1,0
2/28/2020,California,27,0
2/28/2020,Illinois,2,0
2/28/2020,Massachusetts,1,0
2/28/2020,Nebraska,13,0
2/28/2020,Oregon,1,0
2/28/2020,Texas,11,0
2/28/2020,Utah,1,0
2/28/2020,Washington,7,0
2/28/2020,Wisconsin,1,0
2/29/2020,Arizona,1,0
2/29/2020,California,28,0
2/29/2020,Illinois,3,0
2/29/2020,Massachusetts,1,0
2/29/2020,Nebraska,13,0
2/29/2020,Oregon,1,0
2/29/2020,Texas,11,0
2/29/2020,Utah,1,0
2/29/2020,Washington,10,1
2/29/2020,Wisconsin,1,0
3/1/2020,Arizona,1,0
3/1/2020,California,33,0
3/1/2020,Florida,2,0
3/1/2020,Illinois,3,0
3/1/2020,Massachusetts,1,0
3/1/2020,Nebraska,13,0
3/1/2020,New York,1,0
3/1/2020,Oregon,2,0
3/1/2020,Rhode Island,2,0
3/1/2020,Texas,11,0
3/1/2020,Utah,1,0
3/1/2020,Washington,17,3
3/1/2020,Wisconsin,1,0
3/2/2020,Arizona,1,0
3/2/2020,California,38,0
3/2/2020,Florida,2,0
3/2/2020,Georgia,2,0
3/2/2020,Illinois,4,0
3/2/2020,Massachusetts,2,0
3/2/2020,Nebraska,13,0
3/2/2020,New Hampshire,1,0
3/2/2020,New York,1,0
3/2/2020,Oregon,2,0
3/2/2020,Rhode Island,2,0
3/2/2020,Texas,11,0
3/2/2020,Utah,1,0
3/2/2020,Washington,23,6
3/2/2020,Wisconsin,1,0
3/3/2020,Arizona,2,0
3/3/2020,California,45,0
3/3/2020,Florida,3,0
3/3/2020,Georgia,2,0
3/3/2020,Illinois,4,0
3/3/2020,Massachusetts,2,0
3/3/2020,Nebraska,13,0
3/3/2020,New Hampshire,2,0
3/3/2020,New York,2,0
3/3/2020,North Carolina,1,0
3/3/2020,Oregon,2,0
3/3/2020,Rhode Island,2,0
3/3/2020,Texas,11,0
3/3/2020,Utah,1,0
3/3/2020,Washington,32,10
3/3/2020,Wisconsin,1,0
3/4/2020,Arizona,2,0
3/4/2020,California,55,1
3/4/2020,Florida,3,0
3/4/2020,Georgia,2,0
3/4/2020,Illinois,4,0
3/4/2020,Massachusetts,2,0
3/4/2020,Nebraska,13,0
3/4/2020,New Hampshire,2,0
3/4/2020,New Jersey,1,0
3/4/2020,New York,11,0
3/4/2020,North Carolina,1,0
3/4/2020,Oregon,2,0
3/4/2020,Rhode Island,2,0
3/4/2020,Texas,12,0
3/4/2020,Utah,1,0
3/4/2020,Washington,47,11
3/4/2020,Wisconsin,1,0
3/5/2020,Arizona,2,0
3/5/2020,California,67,1
3/5/2020,Colorado,2,0
3/5/2020,Florida,4,0
3/5/2020,Georgia,2,0
3/5/2020,Illinois,5,0
3/5/2020,Maryland,3,0
3/5/2020,Massachusetts,3,0
3/5/2020,Nebraska,13,0
3/5/2020,Nevada,2,0
3/5/2020,New Hampshire,2,0
3/5/2020,New Jersey,2,0
3/5/2020,New York,22,0
3/5/2020,North Carolina,1,0
3/5/2020,Oregon,2,0
3/5/2020,Rhode Island,2,0
3/5/2020,Tennessee,1,0
3/5/2020,Texas,16,0
3/5/2020,Utah,1,0
3/5/2020,Washington,75,11
3/5/2020,Wisconsin,1,0
3/6/2020,Arizona,3,0
3/6/2020,California,81,1
3/6/2020,Colorado,8,0
3/6/2020,Florida,7,2
3/6/2020,Georgia,3,0
3/6/2020,Hawaii,1,0
3/6/2020,Illinois,6,0
3/6/2020,Indiana,1,0
3/6/2020,Kentucky,1,0
3/6/2020,Maryland,3,0
3/6/2020,Massachusetts,8,0
3/6/2020,Minnesota,1,0
3/6/2020,Nebraska,14,0
3/6/2020,Nevada,2,0
3/6/2020,New Hampshire,2,0
3/6/2020,New Jersey,4,0
3/6/2020,New York,44,0
3/6/2020,North Carolina,2,0
3/6/2020,Oklahoma,1,0
3/6/2020,Oregon,2,0
3/6/2020,Pennsylvania,2,0
3/6/2020,Rhode Island,3,0
3/6/2020,South Carolina,2,0
3/6/2020,Tennessee,1,0
3/6/2020,Texas,19,0
3/6/2020,Utah,3,0
3/6/2020,Washington,86,12
3/6/2020,Wisconsin,1,0
3/7/2020,Arizona,5,0
3/7/2020,California,100,1
3/7/2020,Colorado,8,0
3/7/2020,District of Columbia,1,0
3/7/2020,Florida,12,2
3/7/2020,Georgia,7,0
3/7/2020,Hawaii,1,0
3/7/2020,Illinois,6,0
3/7/2020,Indiana,1,0
3/7/2020,Kansas,1,0
3/7/2020,Kentucky,1,0
3/7/2020,Maryland,3,0
3/7/2020,Massachusetts,13,0
3/7/2020,Minnesota,1,0
3/7/2020,Missouri,1,0
3/7/2020,Nebraska,14,0
3/7/2020,Nevada,2,0
3/7/2020,New Hampshire,4,0
3/7/2020,New Jersey,4,0
3/7/2020,New York,89,0
3/7/2020,North Carolina,2,0
3/7/2020,Oklahoma,1,0
3/7/2020,Oregon,6,0
3/7/2020,Pennsylvania,4,0
3/7/2020,Rhode Island,3,0
3/7/2020,South Carolina,2,0
3/7/2020,Tennessee,1,0
3/7/2020,Texas,19,0
3/7/2020,Utah,3,0
3/7/2020,Vermont,1,0
3/7/2020,Virginia,1,0
3/7/2020,Washington,110,16
3/7/2020,Wisconsin,1,0
3/8/2020,Arizona,5,0
3/8/2020,California,112,1
3/8/2020,Colorado,8,0
3/8/2020,Connecticut,1,0
3/8/2020,District of Columbia,1,0
3/8/2020,Florida,13,2
3/8/2020,Georgia,11,0
3/8/2020,Hawaii,2,0
3/8/2020,Illinois,7,0
3/8/2020,Indiana,2,0
3/8/2020,Iowa,3,0
3/8/2020,Kansas,1,0
3/8/2020,Kentucky,4,0
3/8/2020,Maryland,5,0
3/8/2020,Massachusetts,28,0
3/8/2020,Minnesota,2,0
3/8/2020,Missouri,1,0
3/8/2020,Nebraska,16,0
3/8/2020,Nevada,4,0
3/8/2020,New Hampshire,4,0
3/8/2020,New Jersey,6,0
3/8/2020,New York,106,0
3/8/2020,North Carolina,2,0
3/8/2020,Oklahoma,1,0
3/8/2020,Oregon,13,0
3/8/2020,Pennsylvania,6,0
3/8/2020,Rhode Island,3,0
3/8/2020,South Carolina,6,0
3/8/2020,Tennessee,3,0
3/8/2020,Texas,23,0
3/8/2020,Utah,3,0
3/8/2020,Vermont,1,0
3/8/2020,Virginia,2,0
3/8/2020,Washington,141,19
3/8/2020,Wisconsin,1,0
3/9/2020,Arizona,6,0
3/9/2020,California,172,2
3/9/2020,Colorado,12,0
3/9/2020,Connecticut,2,0
3/9/2020,District of Columbia,4,0
3/9/2020,Florida,14,2
3/9/2020,Georgia,17,0
3/9/2020,Hawaii,2,0
3/9/2020,Illinois,11,0
3/9/2020,Indiana,4,0
3/9/2020,Iowa,8,0
3/9/2020,Kansas,1,0
3/9/2020,Kentucky,5,0
3/9/2020,Louisiana,1,0
3/9/2020,Maryland,6,0
3/9/2020,Massachusetts,41,0
3/9/2020,Minnesota,2,0
3/9/2020,Missouri,1,0
3/9/2020,Nebraska,16,0
3/9/2020,Nevada,4,0
3/9/2020,New Hampshire,4,0
3/9/2020,New Jersey,11,0
3/9/2020,New York,142,0
3/9/2020,North Carolina,7,0
3/9/2020,Ohio,3,0
3/9/2020,Oklahoma,1,0
3/9/2020,Oregon,13,0
3/9/2020,Pennsylvania,10,0
3/9/2020,Rhode Island,3,0
3/9/2020,South Carolina,7,0
3/9/2020,Tennessee,4,0
3/9/2020,Texas,24,0
3/9/2020,Utah,3,0
3/9/2020,Vermont,1,0
3/9/2020,Virginia,5,0
3/9/2020,Washington,179,22
3/9/2020,Wisconsin,2,0
3/10/2020,Arizona,6,0
3/10/2020,California,179,3
3/10/2020,Colorado,17,0
3/10/2020,Connecticut,2,0
3/10/2020,District of Columbia,4,0
3/10/2020,Florida,23,2
3/10/2020,Georgia,22,0
3/10/2020,Hawaii,2,0
3/10/2020,Illinois,19,0
3/10/2020,Indiana,6,0
3/10/2020,Iowa,13,0
3/10/2020,Kansas,1,0
3/10/2020,Kentucky,7,0
3/10/2020,Louisiana,6,0
3/10/2020,Maryland,9,0
3/10/2020,Massachusetts,92,0
3/10/2020,Michigan,2,0
3/10/2020,Minnesota,3,0
3/10/2020,Missouri,1,0
3/10/2020,Nebraska,17,0
3/10/2020,Nevada,4,0
3/10/2020,New Hampshire,5,0
3/10/2020,New Jersey,15,1
3/10/2020,New York,173,0
3/10/2020,North Carolina,7,0
3/10/2020,Ohio,3,0
3/10/2020,Oklahoma,2,0
3/10/2020,Oregon,14,0
3/10/2020,Pennsylvania,12,0
3/10/2020,Rhode Island,5,0
3/10/2020,South Carolina,9,0
